# SYNTHETIC DATA - generated by part3/contracts/make_fixtures.py
person_id,date,stress_score,contributing_factors
emp_007,2026-09-07,43.0,
emp_007,2026-09-08,40.6,
emp_007,2026-09-09,40.9,
emp_007,2026-09-10,49.8,
emp_007,2026-09-11,42.7,
emp_007,2026-09-12,28.8,high_hrv
emp_007,2026-09-13,30.9,high_hrv
emp_007,2026-09-14,35.6,
emp_007,2026-09-15,38.5,
emp_007,2026-09-16,43.7,low_recovery
emp_007,2026-09-17,48.2,low_recovery
emp_007,2026-09-18,52.6,
emp_007,2026-09-19,36.6,
emp_007,2026-09-20,27.2,high_hrv
emp_008,2026-08-24,52.6,
emp_008,2026-08-25,44.3,
emp_008,2026-08-26,50.8,
emp_008,2026-08-27,38.0,low_recovery
emp_008,2026-08-28,45.5,
emp_008,2026-08-29,42.0,
emp_008,2026-08-30,45.5,
emp_008,2026-08-31,45.2,
emp_008,2026-09-01,32.2,low_recovery|high_hrv
emp_008,2026-09-02,51.8,
emp_008,2026-09-03,38.4,
emp_008,2026-09-04,53.2,
emp_008,2026-09-05,33.9,high_hrv
emp_008,2026-09-06,29.7,high_hrv
emp_008,2026-09-07,42.3,
emp_008,2026-09-08,39.8,
emp_008,2026-09-09,46.0,
emp_008,2026-09-10,46.4,
emp_008,2026-09-11,42.1,
emp_008,2026-09-12,41.1,
emp_008,2026-09-13,43.3,
emp_008,2026-09-14,48.6,
emp_008,2026-09-15,47.4,
emp_008,2026-09-16,47.7,low_recovery
emp_008,2026-09-17,40.3,
emp_008,2026-09-18,51.7,
emp_008,2026-09-19,38.5,
emp_008,2026-09-20,33.4,high_hrv
emp_009,2026-08-24,45.1,
emp_009,2026-08-25,48.6,
emp_009,2026-08-26,53.8,
emp_009,2026-08-27,55.1,low_recovery
emp_009,2026-08-28,46.4,
emp_009,2026-08-29,43.7,low_recovery
emp_009,2026-08-30,37.5,
emp_009,2026-08-31,42.8,
emp_009,2026-09-01,48.7,low_recovery
emp_009,2026-09-02,52.2,
emp_009,2026-09-03,61.1,elevated_strain
emp_009,2026-09-04,55.3,
emp_009,2026-09-05,42.4,low_recovery
emp_009,2026-09-06,38.6,
emp_009,2026-09-07,51.0,
emp_009,2026-09-08,52.8,low_recovery
emp_009,2026-09-09,35.5,
emp_009,2026-09-10,63.5,elevated_strain
emp_009,2026-09-11,47.7,
emp_009,2026-09-12,29.9,high_hrv
emp_009,2026-09-13,31.9,high_hrv
emp_009,2026-09-14,45.8,
emp_009,2026-09-15,55.2,low_recovery
emp_009,2026-09-16,48.2,low_recovery
emp_009,2026-09-17,37.3,
emp_009,2026-09-18,48.9,low_recovery
emp_009,2026-09-19,44.3,
emp_009,2026-09-20,36.6,
emp_010,2026-08-24,42.3,
emp_010,2026-08-25,46.8,low_recovery|short_sleep
emp_010,2026-08-26,41.9,
emp_010,2026-08-27,43.9,
emp_010,2026-08-28,38.5,
emp_010,2026-08-29,33.3,high_hrv
emp_010,2026-08-30,13.9,high_hrv
emp_010,2026-08-31,43.4,
emp_010,2026-09-01,45.5,
emp_010,2026-09-02,40.1,low_recovery
emp_010,2026-09-03,56.0,low_recovery
emp_010,2026-09-04,31.3,high_hrv
emp_010,2026-09-05,38.0,
emp_010,2026-09-06,23.5,high_hrv
emp_010,2026-09-07,41.0,
emp_010,2026-09-08,44.2,
emp_010,2026-09-09,44.0,low_recovery
emp_010,2026-09-10,51.6,low_recovery
emp_010,2026-09-11,35.1,
emp_010,2026-09-12,32.2,high_hrv
emp_010,2026-09-13,28.3,high_hrv
emp_010,2026-09-14,48.3,
emp_010,2026-09-15,46.0,
emp_010,2026-09-16,34.0,high_hrv
emp_010,2026-09-17,47.2,
emp_010,2026-09-18,38.8,
emp_010,2026-09-19,36.3,low_recovery
emp_010,2026-09-20,25.2,high_hrv
emp_011,2026-08-24,48.4,
emp_011,2026-08-25,45.7,
emp_011,2026-08-26,46.1,
emp_011,2026-08-27,37.2,
emp_011,2026-08-28,48.1,
emp_011,2026-08-29,36.9,
emp_011,2026-08-30,31.3,high_hrv
emp_011,2026-08-31,51.0,
emp_011,2026-09-01,57.4,
emp_011,2026-09-02,53.6,low_recovery
emp_011,2026-09-03,46.3,
emp_011,2026-09-04,47.2,
emp_011,2026-09-05,50.1,low_recovery
emp_011,2026-09-06,33.8,high_hrv
emp_011,2026-09-07,44.6,
emp_011,2026-09-08,43.2,
emp_011,2026-09-09,56.7,
emp_011,2026-09-10,47.8,
emp_011,2026-09-11,47.2,
emp_011,2026-09-12,36.4,
emp_011,2026-09-13,30.9,high_hrv
emp_011,2026-09-14,48.2,
emp_011,2026-09-15,45.0,
emp_011,2026-09-16,52.1,low_recovery
emp_011,2026-09-17,52.4,
emp_011,2026-09-18,48.1,
emp_011,2026-09-19,35.7,
emp_011,2026-09-20,38.4,
emp_012,2026-08-24,49.7,
emp_012,2026-08-25,51.2,
emp_012,2026-08-26,53.9,
emp_012,2026-08-27,40.5,
emp_012,2026-08-28,43.4,
emp_012,2026-08-29,35.5,
emp_012,2026-08-30,39.3,
emp_012,2026-08-31,50.5,
emp_012,2026-09-01,48.5,
emp_012,2026-09-02,45.6,
emp_012,2026-09-03,35.9,low_recovery
emp_012,2026-09-04,63.3,elevated_strain
emp_012,2026-09-05,38.0,low_recovery
emp_012,2026-09-06,46.5,
emp_012,2026-09-07,53.7,
emp_012,2026-09-08,48.3,
emp_012,2026-09-09,45.6,
emp_012,2026-09-10,48.2,low_recovery
emp_012,2026-09-11,48.2,low_recovery
emp_012,2026-09-12,56.7,low_recovery
emp_012,2026-09-13,38.9,
emp_012,2026-09-14,44.3,
emp_012,2026-09-15,55.0,
emp_012,2026-09-16,39.3,
emp_012,2026-09-17,50.5,
emp_012,2026-09-18,55.3,
emp_012,2026-09-19,41.0,
emp_012,2026-09-20,34.3,high_hrv
